Odell Beckham Jesus,Jake Elliott,K,Dropped
2 Gurleys 1 Kupp,Tre'Quan Smith,WR,Dropped
Placeholder,Mario Addison,DL,Dropped
Placeholder,Trey Flowers,DL,Won at $0
2017 Cleveland Browns,Chris Hogan,WR,Won at $0
2017 Cleveland Browns,Denzel Perryman,LB,Dropped
2017 Cleveland Browns,Cameron Heyward,DL,Won at $0
Team Suzy,Michael Brockers,DL,Dropped
Team Suzy,Arik Armstead,DL,Won at $0
Team Suzy,Larry Ogunjobi,DL,Dropped
Team Suzy,Michael Brockers,DL,Won at $0
Team Suzy,Joe Schobert,LB,Dropped
Team Suzy,Larry Ogunjobi,DL,Won at $0
Odell Beckham Jesus,Devontae Booker,RB,Won at $0
Veteran Minimum,Linval Joseph,DL,Dropped
Veteran Minimum,Chris Jones,DL,Won at $0
Veteran Minimum,Alfred Morris,RB,Dropped
Veteran Minimum,Ron Parker,DB,Won at $0
Placeholder,Marshawn Lynch,RB,Dropped
Placeholder,Vance McDonald,TE,Won at $0
2 Gurleys 1 Kupp,Jay Ajayi,RB,Won at $0
FUCK YOU LEVEON JUST PLAY,Brandon Graham,DL,Dropped
FUCK YOU LEVEON JUST PLAY,Duke Johnson,RB,Won at $1
Placeholder,Cameron Brate,TE,Dropped
Placeholder,Raheem Mostert,RB,Won at $2
The Tank,Courtland Sutton,WR,Dropped
The Tank,Case Keenum,QB,Won at $32
2017 Cleveland Browns,Josh Lambo,K,Dropped
2017 Cleveland Browns,Mason Crosby,K,Won at $0
It's Complicated,Kenny Vaccaro,DB,Dropped
It's Complicated,LeGarrette Blount,RB,Won at $0
Peacocks,Brian Poole,DB,Dropped
Peacocks,Antone Exum,DB,Won at $1
Peacocks,Ryan Succop,K,Dropped
Peacocks,Chris Boswell,K,Won at $1
Team Suzy,Ronald Jones,RB,Dropped
Team Suzy,Devonta Freeman,RB,Won at $10
2017 Cleveland Browns,Duke Johnson,RB,Dropped
2017 Cleveland Browns,Case Keenum,QB,Dropped
2 Gurleys 1 Kupp,David Johnson,RB,Traded From 2017 Cleveland Browns
2017 Cleveland Browns,Corey Clement,RB,Traded From 2 Gurleys 1 Kupp
2017 Cleveland Browns,Cooper Kupp,WR,Traded From 2 Gurleys 1 Kupp
Team Suzy,Greg Olsen,TE,Dropped
Team Suzy,Ronald Jones,RB,Won at $0
Team Suzy,Jalen Mills,DB,Won at $0
Garropoyolo,Ryan Smith,DB,Dropped
Garropoyolo,Jarran Reed,DL,Won at $0
Team Suzy,Benardrick McKinney,LB,Dropped
2 Gurleys 1 Kupp,Antonio Callaway,WR,Dropped
2 Gurleys 1 Kupp,Everson Griffen,DL,Won at $0
Placeholder,Giorgio Tavecchio,K,Dropped
Placeholder,Randy Bullock,K,Won at $0
SKEET BALL,Adam Vinatieri,K,Dropped
SKEET BALL,Ka'imi Fairbairn,K,Won at $2
FUCK YOU LEVEON JUST PLAY,Minkah Fitzpatrick,DB,Dropped
FUCK YOU LEVEON JUST PLAY,Malcolm Jenkins,DB,Won at $2
SKEET BALL,Bilal Powell,RB,Dropped
SKEET BALL,Daryl Worley,DB,Won at $2
FUCK YOU LEVEON JUST PLAY,Vontaze Burfict,LB,Dropped
FUCK YOU LEVEON JUST PLAY,Frank Clark,DL,Won at $3
The Tank,Kevin Byard,DB,Dropped
The Tank,Jessie Bates,DB,Won at $4
The Tank,Kwon Alexander,LB,Dropped
The Tank,Todd Davis,LB,Won at $4
The Tank,Dede Westbrook,WR,Dropped
The Tank,Courtland Sutton,WR,Won at $4
Team Suzy,Robert Nkemdiche,DL,Dropped
Team Suzy,Clayton Geathers,DB,Won at $5
Team Suzy,Devonta Freeman,RB,Dropped
Team Suzy,Joe Schobert,LB,Won at $5
2017 Cleveland Browns,Eric Berry,DB,Dropped
2017 Cleveland Browns,Ha Ha Clinton-Dix,DB,Won at $5
Team Suzy,Peyton Barber,RB,Dropped
Team Suzy,Dion Lewis,RB,Won at $5
It's Complicated,Taylor Gabriel,WR,Dropped
It's Complicated,Jordy Nelson,WR,Won at $10
2 Gurleys 1 Kupp,Jermaine Kearse,WR,Dropped
2 Gurleys 1 Kupp,Jared Cook,TE,Won at $14
The Tank,Giovani Bernard,RB,Dropped
The Tank,Jalen Richard,RB,Won at $20
Odell Beckham Jesus,Thomas Davis,LB,Dropped
2017 Cleveland Browns,Alfred Blue,RB,Dropped
2017 Cleveland Browns,Josh Lambo,K,Won at $0
Placeholder,Dion Lewis,RB,Dropped
Placeholder,Cameron Brate,TE,Won at $0
2 Gurleys 1 Kupp,Antonio Callaway,WR,Won at $0
Garropoyolo,Vance McDonald,TE,Dropped
Garropoyolo,Zach Brown,LB,Won at $1
Garropoyolo,Ha Ha Clinton-Dix,DB,Dropped
Garropoyolo,Ryan Smith,DB,Won at $1
